user,food_weight,service_weight,ambience_weight,price_weight,misc_weight
PDarB2fy4ZQ6RIp9wxIWKg,,,,,100.0
6x4x20vRckjhaQMz3MeFYA,,,,,0.0
ckVtlSYAaP1eeUPEUSTJFw,43.75,0.0,56.25,0.0,0.0
NdSNQXoxiFeNZQ1M6uB9fA,44.44,55.56,0.0,0.0,0.0
rCyzpgOp_Bnb2fWfTKfLeA,100.0,0.0,0.0,0.0,0.0
87GkoDxqsAl0LvGktD6dzA,100.0,0.0,0.0,0.0,0.0
DR6QZOOcU9zF02POqHYZoQ,100.0,0.0,0.0,0.0,0.0
zx1tklXFIsQxK9LDgF5CPw,100.0,0.0,0.0,0.0,0.0
BL9hmg-Glo-0Yo4AZWx7sA,,,,,0.0
tsNgy8z0pNhZ7j6tbn9obg,0.0,0.0,100.0,0.0,0.0
ECRKPeTnrTusGYgQ5ij2PQ,,,,,0.0
-bEaJTy88qHBflZKPnOrAw,,,,,0.0
kYveiA-p64ZN0mGSyzK3Iw,50.0,50.0,0.0,0.0,0.0
Rmp68_XeDLfg2vgM393goQ,,,,,0.0
MiBCYPrZFgL-IqESfraZcw,100.0,0.0,0.0,0.0,0.0
cumYM_K8wMZZjmrp3tlpRw,50.0,0.0,50.0,0.0,0.0
TF6e3usIYGHYOmk6EdY0UQ,,,,,0.0
3ooy-f5KRqRHlWhlQQxXbQ,,,,,0.0
4Xfo611D_TeIQMiiqDlbzw,,,,,0.0
n47E_bZ4kiKYOkaPiPhTiQ,100.0,0.0,0.0,0.0,0.0
D-UgUC_KQq3z40UfHE_q_g,,,,,0.0
fO14jew9W9icFLuwv28sVg,,,,,0.0
YhJ0B0mL4gaPDOYFYiL5IQ,100.0,0.0,0.0,0.0,0.0
6wB_VTHJoPbVjgQiiulOHQ,,,,,0.0
euEyYITnPu6VuzrH1ZtC6w,,,,,0.0
ypLsIEVj68t5PA1JVd0_Gw,,,,,0.0
T36E5rC_AJgFvpiA7vHoFA,,,,,0.0
RLO4rEcTe_WLCox-IE6dcw,100.0,0.0,0.0,0.0,0.0
TRGZVGwYXP_SItTRWd06eA,,,,,0.0
afQzPsfi1cq1hjDUar804A,100.0,0.0,0.0,0.0,0.0
kgHcYU5dZRgwZQFoVrzNnA,,,,,0.0
jNpw4P-37sB3ozhY-gPi9g,,,,,0.0
gyMSJrfyGPdcOeYBK2cqmA,,,,,0.0
6iQF02aNgeOk8s8dougtKA,25.0,50.0,25.0,0.0,0.0
DIiadAjqmAxslmD6xNp2Zw,,,,,100.0
3tr5fbyD6Jmopz2PWdcvWg,,,,,0.0
xgAEeDuREh8xwqhFU8yEDw,,,,,0.0
X1fMT7UfRhKDMJMJ-WRX6w,100.0,0.0,0.0,0.0,0.0
WiG5PRVYADSroxOGLXZJTw,,,,,0.0
Od2Ev0b92eKrciDJIRVNpQ,,,,,0.0
zkZg3CBpHYgQRSRCrLyyng,100.0,0.0,0.0,0.0,0.0
pcpawrqcIjE3v2hpQC8DDQ,50.0,50.0,0.0,0.0,0.0
5az0sAMakJkvNOh_5bAmXg,,,,,0.0
d1NWwQnhfRrFZQu-8_XD_g,46.15,53.85,0.0,0.0,0.0
gZ-CewXerXlytUGV-4nFRA,50.0,0.0,50.0,0.0,0.0
uC8M7-AGy77bs2jozwvECA,,,,,0.0
PqMeERnO5oJUoG1SxJv22A,100.0,0.0,0.0,0.0,0.0
Is2FHi4954N3f13OiOjpqQ,,,,,0.0
ftNqcK3-lxdqJ-LvYAqa8w,100.0,0.0,0.0,0.0,0.0
R8lTgvCrnUhI56gXEtb7qQ,,,,,0.0
FYGk3GLazImbflJMiIhoSw,100.0,0.0,0.0,0.0,0.0
jMsWraiOIPIBmaLSSV8WSQ,,,,,0.0
J8KIumEzgQGG0ypFyaGSgA,100.0,0.0,0.0,0.0,0.0
9GW_wOmTBq0Ru_0kfSNIfQ,100.0,0.0,0.0,0.0,0.0
Y50zoqPO1ZD5uNRT2dOYAA,100.0,0.0,0.0,0.0,0.0
1kpMAKRZuAz3OzxBav3XTg,29.07,27.75,43.17,0.0,0.0
kZJWAY828P8QZTqVYzhTCg,24.53,18.87,18.87,37.74,100.0
Gr8S_P-Zwck8WS_UY6El2g,,,,,0.0
rgKNgasarGFY-BTcavCAXg,100.0,0.0,0.0,0.0,0.0
ga0W6sHq58245DmuaPYRlg,100.0,0.0,0.0,0.0,0.0
v4igRhfhU8dn4vHeHeRqAA,,,,,0.0
wgfEiWaKiso6JF2vnolwiQ,,,,,0.0
mwNA1TwHHgWQiOuM4Gkc5Q,,,,,0.0
YMRkM6nk3NYFlGCqAeh2yQ,,,,,0.0
lQpvvICZ8XnuHg6yXDCYgQ,100.0,0.0,0.0,0.0,0.0
SCJj5GsM39GhU01Hs2gWHQ,100.0,0.0,0.0,0.0,0.0
7TY61w0JJEHU_bnBax93Sg,,,,,0.0
OES6e8-rnYE7SF9HOZ8B_A,33.33,66.67,0.0,0.0,0.0
EMcfE7N6ls9KnHiRQiBWrg,,,,,0.0
2LNzSOSH6QrofPu7-Gm0oQ,,,,,0.0
5FqOsLvciErfz93NhSfQxQ,,,,,0.0
ZqmgPbDdZaM7GbUGuVbshg,,,,,0.0
Z7e_HBF5c0o_doe6Uqd20w,,,,,0.0
AwC1VhKQ3WBoScoVmbXlWw,,,,,0.0
yiMA_Ru1xbK8aSnZpf8Xuw,,,,,0.0
aIupIvnPUe3ressaYe704Q,,,,,0.0
crS5lV-2qDjpdg2dhgUtzQ,100.0,0.0,0.0,0.0,0.0
hxcn_5oILxo8Q6cb3a8keg,,,,,0.0
NPqwI1ga9ABLQreXZG8WaA,100.0,0.0,0.0,0.0,0.0
QVDsL7OQwKAAe-lZvNqBmA,100.0,0.0,0.0,0.0,0.0
QNN4KJDvh-1MevFdvOf7qg,100.0,0.0,0.0,0.0,0.0
X7ZMoUGbKAChYB6jVT0JTg,100.0,0.0,0.0,0.0,0.0
ex65fFisM_6urQQ6B1YBsA,,,,,0.0
zPE7jorvxuddPYYtn1McRA,100.0,0.0,0.0,0.0,0.0
2n9JsrqMgZWGSjmU8CqswA,100.0,0.0,0.0,0.0,0.0
pB5cmzz37uqCDfQJaZUywQ,,,,,0.0
rk73ya6FQe7fL45cHPCfbA,100.0,0.0,0.0,0.0,0.0
X8EMI9f6UGmVqqDLYR2FYg,100.0,0.0,0.0,0.0,0.0
dP_WDy68AnPcxYlETvdi2A,100.0,0.0,0.0,0.0,0.0
Bchgh1l6l_qRiRc1M5eIHw,75.0,25.0,0.0,0.0,0.0
_S08oydzsR4J7gQTmvnzTw,0.0,100.0,0.0,0.0,0.0
s1Hsu9cFf5qJym5-ujO2MQ,100.0,0.0,0.0,0.0,0.0
2cnezvCjz4zze5Ummmq-gg,,,,,0.0
LZquQqjVqoWFhVUqfLxUKw,,,,,0.0
sW_zFVJk5hLr7SsU-4W3Yg,100.0,0.0,0.0,0.0,0.0
xy00i_AgWQf4TZ6RdDqbnQ,,,,,0.0
4ZRZW9sHQOVb0B4kyWN-VA,100.0,0.0,0.0,0.0,0.0
gQblq5264zcx5YtGAWDdKA,,,,,0.0
kQ-z7CwvvVqPnLM7cyOFgg,,,,,0.0
bFW-MB_YUIXE-HZwTqvESA,,,,,0.0
-f6amuvfIVS7VX65BqZ6pQ,100.0,0.0,0.0,0.0,0.0
mNKN_MKujVkevU2Nw7FNng,100.0,0.0,0.0,0.0,0.0
0o7erqYcB8gGbu3DswlpVQ,,,,,0.0
RdjXuqS-W8VZkjlyl6qvmg,,,,,0.0
3Sb7RCcLmROA2BE11GJGCw,,,,,0.0
nO8_47tiD79KPd6EGefvFQ,100.0,0.0,0.0,0.0,0.0
Q7GP0Y_uhnyUjTTZOkXm-g,,,,,0.0
YSBz3XjAU9fZmqphUWJrQg,,,,,0.0
wiCR6Kq2jS2YFoE4lyVoUg,100.0,0.0,0.0,0.0,0.0
WNEaFzeDxDvEb2Pl4bR-nw,,,,,0.0
sLTF90f4Y-QwY4dvsPAJuw,,,,,0.0
OE1OchRjfIjQ6-1HWyxUeQ,,,,,0.0
zqk-M6i1IWSX3I51t4rVfg,30.0,70.0,0.0,0.0,0.0
U438yUH5aBVntI_CbVt8jg,100.0,0.0,0.0,0.0,0.0
GwdybUOEOfVELxzVkfZKdg,,,,,0.0
1MiF6H4zn0r_syHeEkv8sQ,100.0,0.0,0.0,0.0,0.0
vtkUKX19mYJk1MOaW10bmQ,100.0,0.0,0.0,0.0,0.0
KANSklyzo5U9x-XW6JIbhw,,,,,0.0
Z1v_FZsisoBXNuqmL5-HxA,,,,,0.0
IRUg-Zg1FD5Pu9HxDEG0Ew,,,,,0.0
goVg-XsCx_xzF0UIl3mYIw,,,,,0.0
Y6frbkLlr2E8t7AzurR0Dg,,,,,0.0
5HWkdWUqrZTbLS-CzgKctQ,100.0,0.0,0.0,0.0,0.0
gZ5dgUjkAP7FF72CXkbADA,,,,,0.0
1eihAXjjWTkqiTuI95qcZg,,,,,0.0
yABu0siSGhme2JpUA1x0PQ,100.0,0.0,0.0,0.0,0.0
FGAmXfY1FDCHWGejyMEi-Q,,,,,0.0
fQZc6Z0s_O0EdD_E1Qbv9g,100.0,0.0,0.0,0.0,0.0
OH9xJWgh2p5gY1PbHKKjxg,100.0,0.0,0.0,0.0,0.0
aRCxYEXa5iDz5QUQm7Bmug,100.0,0.0,0.0,0.0,0.0
dXqWK2Eq1LXACGn0COyDcA,100.0,0.0,0.0,0.0,0.0
Bw_pn5DZ9IShY1Cy2WxsHQ,100.0,0.0,0.0,0.0,0.0
YWXtQgCpJ4de4qGzRBTY9w,,,,,0.0
3obznb59ZoM9RYgOcHf32g,0.0,100.0,0.0,0.0,0.0
6ODieNljbP7Z-EZG45Tefg,50.0,0.0,50.0,0.0,0.0
S3jpAvOIUAVAKMjH8mtZbA,100.0,0.0,0.0,0.0,0.0
vW2gJSH462cBeehH52kYjQ,36.36,63.64,0.0,0.0,0.0
RmgY13qaZQK2Zpau6140JA,,,,,0.0
ST_ktBG-gllUs7AcEq6dJQ,,,,,0.0
EGJLafl_1iWSopY3IuCgKQ,,,,,0.0
PFjA5h9-zVhlE2V0iP7q9Q,,,,,0.0
XGEIgn4awC0aZPE08PTYeA,100.0,0.0,0.0,0.0,0.0
Zu758gE0nAXTrrxh7L7l3w,,,,,0.0
Mtbku7lafgg1lXRCJG2ByQ,,,,,0.0
2Zm5h2_N3R4_Yl_Haj2nUA,100.0,0.0,0.0,0.0,0.0
Z3LqCUmWXUFv_7_mRYclvw,,,,,0.0
1bHto5cQAaMPs88QvehyfQ,50.0,50.0,0.0,0.0,0.0
trLgHEvUckBjxq181MwnYw,,,,,0.0
Dk7X0x5Pdhy7-POU8GzwAQ,,,,,0.0
txvdqRDfFdboJETIqsWGlg,100.0,0.0,0.0,0.0,0.0
1GZmqNhvgiMPi2tYSv-dSw,,,,,0.0
zFVBIOECiSpDb-e1WZOFVw,44.96,55.04,0.0,0.0,100.0
7ht-dNeDwDnqI2flX98AKA,,,,,0.0
5CzumkZuc7q7unmRQYZ-7Q,,,,,0.0
Tm34Crvh12elenNa5UDd1g,100.0,0.0,0.0,0.0,0.0
nASZN9Vj7d5btnEQZCxbeA,,,,,0.0
MD2lVrUzeHRrZjM1I1pP0Q,,,,,0.0
NOUfyJW-BAo_-Cbfo8edww,,,,,0.0
J2A7OGe3cYrfwoAa-ZD1mw,,,,,0.0
ZeIdJyhi9Sas9NwcGCOFBA,,,,,0.0
K7jI5EY_aHOgxmBf_An62g,,,,,0.0
vnBviA3aveWvZjBukrJZzw,,,,,0.0
uBVUPzPFodOkJmUnYNCpmQ,,,,,0.0
Ibnfijx091VmOXp3YCOdfQ,100.0,0.0,0.0,0.0,0.0
9E1ZgRNi2F9SM1WAFHj0DQ,100.0,0.0,0.0,0.0,0.0
r3pu-HEVXRNhW-pWnK8Fyw,,,,,0.0
l9EKWtvX1WvqXFL6KZUtdg,28.57,71.43,0.0,0.0,0.0
8rNzNxp054ydMQ19v6iAYA,57.36,42.64,0.0,0.0,0.0
ybzuQcB4JVI05qgxW2gCDg,,,,,0.0
9PfSGOj7g3BS1p99YnA1jg,,,,,0.0
qvKh18EA3OsxRV3_Szqr3Q,,,,,0.0
LH2XloP0sMn5lxVuUniHsw,,,,,0.0
ozINDvBl4nE06pMJDU7w6Q,,,,,0.0
uB_aCUa8XvsyUZM_1UxYfg,100.0,0.0,0.0,0.0,0.0
1AUq5VY8fGIn1eNqFygrtQ,100.0,0.0,0.0,0.0,0.0
dXtECFhaU5EldbZJRrBV0A,100.0,0.0,0.0,0.0,0.0
rEfaD0sQRcCYIqRjbnhTPA,,,,,0.0
VNiF1_53Q8UzNdUofYQ6vQ,,,,,0.0
rtgRf7t4QKsEZvDplPea9Q,,,,,0.0
prtxk8jS3ntu_4eF3x1uDw,100.0,0.0,0.0,0.0,0.0
pCG6XwMJ20ml-GhXs1ibwQ,,,,,0.0
tR8kf3Ae_ng-GxUdfpaiKw,100.0,0.0,0.0,0.0,0.0
ZMjfi_JNr2908YxKnvUVoA,100.0,0.0,0.0,0.0,0.0
GwAe48xJlQ65bk4DFDNarA,,,,,0.0
a5IRh3sy1VAi8eBtq4NBqQ,,,,,0.0
1MsOMajaHWl0rX69YMBJlA,,,,,0.0
YKlec-m6urqXWM0O_HMLoQ,,,,,0.0
FejdNIpqjoyoZ6OVIt-IdQ,100.0,0.0,0.0,0.0,0.0
DolMgea1QzKpEDTU8lp7Fg,,,,,0.0
2jx2lunIvzUgjmDl0hp9Mg,100.0,0.0,0.0,0.0,0.0
_jXd74oZFTB4V-p2mdiKdw,100.0,0.0,0.0,0.0,0.0
dIQm-fWJHQ6hKsUUU7GllA,100.0,0.0,0.0,0.0,0.0
G-R_rRIg2x0sGcPHWr3pCQ,,,,,0.0
lAAdri6-evllnIjYQwNdjQ,0.0,0.0,100.0,0.0,0.0
BP3ZM9fUZvfxbt33gBEzfQ,,,,,0.0
plOtZruZJ-rxF7VCgeS40A,42.86,57.14,0.0,0.0,100.0
9tgf5Srakfa4xK8WyeUdxA,100.0,0.0,0.0,0.0,0.0
VPjaVZ5fwgwiVj7QYkoc4A,,,,,0.0
AWzpOYtavGKOpVHnVRwL9Q,,,,,0.0
wvx-NeryL3e2g-4KJwEcVw,,,,,0.0
o5VOw3EJ0vTmbBJL1Tq_2w,,,,,0.0
vc31zaukr7_rs242WMPjYg,,,,,0.0
hQdWHH-MbuuJTVXNf2cRmA,,,,,0.0
kZSy1SUXJ1Uxw3bLzEQ3OQ,100.0,0.0,0.0,0.0,0.0
JxfkkoaJb8LS8Pmn2p3Y1A,100.0,0.0,0.0,0.0,0.0
