restaurant,name
X3ltF7mz6rPCSzRRrZjrPw,Lone Star Taco Bar
p4lNrHvbmOOkp4wGQpyLDA,Cinderella's Bar & Restaurant
QuIW7rtR_8UExTaq6jXamg,Mix-It Restaurant - Sushi Bar
5XngTubewHeJTVik45sTiA,Talulla
io-96LKZ13HM992__Pao3A,Tahaza Hummus Kitchen
oYtyETagKxYInmoKdkGR7Q,Season to Taste Catering
1RvK3oVM-sQkhLgZnDgbCw,Harvard Faculty Club
fvuXHSkSE00DglB2-qHt5w,Honeycomb Creamery
KkSv-IxNIc5rtQYtNAC_Fw,Revival Cafe & Kitchen
7MN8kNyuKDZtoSoVdZDCpg,Miracle of Science Bar + Grill
Ds-yqLSYUjUpn1HyqBjEnQ,McDonald's
3FB30LGJfWUKxRqwXfq9UQ,India Pavilion
TfSZgUu1Uxwcve7q1j5fLQ,Midwest Grill Brazilian BBQ
nZZ3RQGCU1MICSagBYtwVQ,Whitney's Cafe
qw5gR8vW7mSOK4VROSwdMA,Veggie Galaxy
GLP0_Rs2y4Q0Gxk7r1dddQ,ZuZu
gctbL0lDIYIHM6yDn99V-g,L.A. Burdick Handmade Chocolates
4y49CSzDlkZB7nkyViZuzg,Pinocchios Pizza & Subs
sUBnTXhtUcOpjrZhAhHzqQ,Muqueca Restaurant
sYwiUHojCnVM7dZAhFWrmw,Curio Coffee and Wine
JorlQrAfFT9GFXekz7sCTw,Alfredo's Italian Kitchen
KUXFTHv0TBIeOO3T2EkCkg,The Coast Cafe
eHZLtnQOjNsL1_X4TJmtOQ,Legal Sea Foods
ux3zO2jjmQ5aZrwBibZnPA,The Shops at Porter
QxYkqX7HJ8pmIQA4zv-1Nw,Cilantro
DgxdmF0mZef3SZSdMpJdEw,Darwin's
1iY5q6spBS_DNWyemY829A,Henrietta's Table
kTiB7a40aXsxLW5BipKLYQ,The Boathouse
rKirSxY1-ScGEzQjfYSI2A,Wrapro Falafel & Grill
1UDpRw4n3yUNNWXZ-yGDdQ,Court House Seafood Restaurant
x4fNltn_RTWU4xLY3gJQUA,Champions
_9ZZv5V-uM5BXx3P-HslIw,Russell House Tavern
4bW1Vs_OZiLieZxCiMZ-gA,Qing Dao Garden
r1NMCGDR4mXOqPtBOOj3iA,Black Sheep Bagel Cafe
a6bBobCJdC2EDqdqbbeVMg,Kantipur Cafe
6Ax2uEsGQCE-2Oxqoe8BWQ,EVOO Restaurant
Oto6OTWhDjgpZvMEgdbcmw,5 spices house cambridge
n7kjRf3hMYDhCqxG6iC4Cg,Orinoco
5Gff_qqkRB8c4vexsaxFUA,Changsho
Z9g2Zxf8wSXjgCanPPrnWQ,Loyal Nine
KTYNXnLKrd-0sBvaVwUYSw,The Black Sheep Restaurant & Bar
qmpS1Vpp98aKPYDU9snxXg,Genki Ya - Cambridge
pWyR94wFtrJtd8Y7Ix2sQw,Pagu
kV6s56DgJDaLF44VTxlzBg,Beantown Taqueria
xHRsdh_9UlVetHMtRXL4sQ,Koreana
QtFM-miP8xQAXbTzD1hvlA,The Half-Shell
2jzhfs791eDiHKtd3DzqOg,CAVA
2BEZNv3Jfo5PAecB6K0P3Q,I Love Sushi
xYXEoToW-YOhO6ZDV-8XiQ,The People's Republik
HuQ8YB5eOppEJf3muw_1aQ,Bagelsaurus
8z_wiU74O4F6RDuIYrjZ0g,Forage
6q5TIpdyLXLBvOv3wyizWA,Trattoria Pulcinella
FABoSA9OPP5HrPkTQ9x2_g,Poke City
2WXwWfhpfia7_UflDYnUyQ,Catalyst Restaurant
sIeV6Y4Pa0HflGA3hy2wkQ,Olive Cafe
E_vKoJ0zvpfAcEkQGS4d2A,Daedalus Restaurant
s9c3ufuhJ3phG1XI0zey0Q,Flour Bakery + Café
hzSyQBWeoX94WOpUtxuWVg,Mr. Bartley's Gourmet Burgers
yoem-KW_Jln0LqsdLwLeUQ,Grafton Street
n-5xA19txqjxmRdKB3A6bg,Brick & Mortar
nvU5FVkMovSep9GavlwxTg,Sumiao Hunan Kitchen
7u58qiq0Rg2WZYdoBSFzdg,Suvaai
cqDe249DdBe9dBlblIuCUQ,All Star Pizza Bar
AY1JSNJ8y9VFMkcvj7NfyQ,Whole Heart Provisions
Lz83kK7FeMl5ZUeZpC0lfQ,Vincent's @ Café du Pays
NaTL9VvDPjLARr5fT9PaQw,Pita Cambridge
yzQjl6CaFl-1VFnDpT7cPg,Pokeworks
t4zpNjWmwKmPe4STXV0OYw,Gustazo Cuban Kitchen & Bar
ymKw4Izgcz5F8eEozykNkw,Za
Xb92ROMBIobRwUqMLsh49g,Souper Roll Up Cafe
58cDJU4cub1o0o0B4h9GrA,Craigie On Main
W-u23r-Qf2OJ6MgFXeFm9A,Jose's Mexican Restaurant
q2EXggq1IIrw20YPSfvJeQ,Phoenix Landing
0ttf8ZaXC_67Tv1Gx47WBQ,Kendall Hotel
1ormi492NqirB_kU_a8W-w,Glass House
y0hnMm4EcplmZYUs_XpAvA,Saloniki Greek
gCsEB2O7m4xhrcGPXHybuQ,B.GOOD
7MCL21P_tngNFXhJKqgTsw,Dumpling Daughter - Cambridge
RFMiG4t35kNr4Iz3ndu3nw,Dado Tea
nb5FmoGQsfE2kk_0cPv0GQ,Sarah's Market & Cafe
NIcxqWXXeJBzxePxVKga1g,Noodle Stix
MOFJbwaQ_fWzySNGbRNrJQ,Sugar & Spice
MKdL3zHlpqgTUg-UjonEaw,Vester
1nBaLt_PZQZr4QaBK2KZlg,Gyu-Kaku Japanese BBQ
5NwSRN_Gq6aYo_wDEiQ_TA,Passage to India
mZZ0asWOh77DfwMe24nUXQ,Shanti Restaurant- Cambridge
a8ZLRx-NyaT1RtcykR2DCA,Tatte Bakery & Cafe
_nrTpNLt58nDwT4Ac41YUw,Darwin's
cA1dMq-Ewrwo4QUR8_O8lg,Tanjore
8BUt8TPUoT9ShBDDVdU6Uw,Newtowne Grille
Y6YtAXCglKWQB9ghwmzWkw,SOFRA Bakery & Cafe
glluqf9RsBrWJrQp3MjHLA,Baraka
j6PJEamZViym5thvza7QOg,Hi-Rise Bread Company
tTzVRy24H-GFERKOl4OlJA,Zephyr On the Charles
gvslXIfVWkVu12MjgdlZJg,The Smoke Shop BBQ - Kendall Square
UGs6J02mK_DTxDPfrJoviw,Harvard Square
ckjbAB-tQ3_QEQmHSytZ6Q,The Cheesecake Factory
l_Apjvqrgmv8gVlrtE0l3A,Aram's No 2 Pizza & Subs
n5Soz6FwB37rN6t7-abr6A,Skampa
nijacBMGySzM0sBsYYxUhQ,Punjabi Dhaba
qeALWPPjIHGaXIJYi5t7uA,Riverside Pizza & Seafoods
HvtGWqaCdnE8k9PEVzhXKg,Casa Portugal
bqd2xyBGUuAieMiJEXB32w,Fava Bean Mediterranean
RJ0sf3u5XO9vkiQ9KL6jKw,Abide
84-VYasaVm6zCDw3T_LfDg,Spicies Cambridge
9Zir6NdvN0W2eIuuHQosnQ,Shanghai Fresh
WFMlEipNxrPYArq4VSaQaw,Desfina Restaurant
a44VQVzFvWjfGmBv1AhFqA,Caffè Nero
k2mY_ctP9EIZ8XIqNIvNBQ,Oath Pizza - Central Square
GxKqBTGEH-mu6eZ9IhUHrQ,S & S Restaurant
YeRXjIzxc9FaK6uyrTBvkQ,Falafel Corner
c577WXP83PAcIyDiaCtrDQ,Sebastians Cafe & Catering
ZPCrCl8K5slskpZ7Zz2uqg,Lily P's
HvOmnemslTpP0_SwHwTucQ,Mike's Pastry
fcdesw4sp2waA8ZwR10R2A,Surya Indian Kitchen
EC6J3lSq5GFRyrzpust1GA,Royal Pastry Shop
H0lnJ44GvEkHoSV4WsQwtw,Little Donkey
leGlDtF4iveddK_uuBC8lQ,Cambridge Common
kUrvoceeRb9q4WmunB_1SA,The Village Kitchen
M_0hAzKIjAoEzg9geMlrHg,Nubar
PziHGH_hKJoESVagtyAOnQ,Guangzhou Restaurant
oeGGj21XtuZTTIk3wRlCOw,The Abbey
WFq2lgglSCBETcfoedvbzA,Roxy's Grilled Cheese
HatHuBZ4mwNBbHSeC32p1A,Colette Wine Bistro
xo7g1UhRVROVPBnQCgpULQ,Urban Hearth
OP2buTNfs_ne8f1he1i6cA,Clover Food Lab
SZw4rxKrlCphqMyWRv4lZg,Puritan & Company
KFx_SwzV19WjJHK13iI_jQ,Felipe's Taqueria
PKnj9SK8M9aSrWpf0rQtPg,The Plough & Stars
WVt2GdaHqZNE5qUIJ7k3Eg,Grendel's Den Restaurant & Bar
x4vRczmgp446CdsDiJCUag,Cambridge Center Roof Garden
8dZZy6AV4Bu_ftoDKQWpEQ,Saloniki Greek
_N8NDHqKgJCDTQ0pNrMkLQ,Royal Sonesta Boston
rtgIRY9dAt9QcEpncb_EAQ,Andy's Diner
HrED44acwUngPkOWS0GUZg,Noir
fS9P80PVcl-p-v3f4MP3Ng,Boca Grande Taqueria
uog_FdVRIPtReDYuxLdNGw,World of Beer
FKjx23kPhekn1RavfXyf-g,One Ramen & Sushi
hADEjYNxdlSrU8paiRUzUg,Lizard Lounge
wT41NK9VNts-Vl4AvkWZgg,House of Chang
tGDBuCTe1rvM1KzQ9PG5RQ,Cakes By Terri
tQlYAaCazd3M13MWjGbWdA,Barismo
01bVoz3i55G2qk2ydNnJCw,Bon Me - Harvard Truck
KPFscTq_-jGPla0cNQRUcg,Meadhall
YckpfZdLcBiPvnw92FUfaw,Veggie Grill
D2pEDsQBUO5GIgyT8oKUxg,Helmand Restaurant
umSO7veSVjf8QflZOonmlA,Zinneken's Belgian Waffles - Harvard Square
f4zeVunnSBiO_yGhXgcahA,The Druid
T6y0fHkARCqE-8CMs5qHFQ,Anna's Taqueria
9RH1xBIMMAZXg9s_XW_sLg,Giulia
_--ScmaNumIoT2gQanACvg,Desi Dhaba
MgmTEMoY2RgZS1Q02HacGQ,1369 Coffee House
lhsSex-lUya1F8TitknFtg,Shy Bird
v6CBzW0R6MqOChmcVULvCg,Cafe Zing
ly_I-GSs5kNZDdpd4tSpXA,Bisuteki Japanese Steak House
2oWt0Vnn0lKKhwqkWzPYMA,Hyatt Regency Boston / Cambridge
15HG_YyqAPIYpu0ceaSwHw,Beauty's Pizza
PmnIrliSIYc_0L5fWUhbKA,The Charles Hotel
ubjbE_LZIYS_i6yg8S21-Q,Bertucci's Italian Restaurant
T5_3LoIuOnilA7Z5sdfGJA,Alive & Kicking Lobsters
#NAME?,La Fábrica Central
HmJ09mAx2KuKo8knjwY2jA,ABC Pizza House
a2fNkGhYu-o3NCX4k-uSBQ,Dumpling House
yd07SwWFfLj27GR8Rdr89g,Bon Me - Fresh Pond
1o1LImsFDoGDogxgYfjIqQ,Bourbon Coffee
lTcTk5GFWl7neXYPjxTGSQ,Hi-Rise Bread Company
A3D8gBGNmt51kvcI0GkaGQ,Lord Hobo
ovIxZ7qvNT76tilujesmIA,Corazon De Frida
0qmGd3I6dFkJ3auDgRZl4Q,Highland Fried
tQbYsSvTAIV6uzZfMvdI2A,Harvest of India
7QPpJWjpXm9-c3O4wkD3cg,Mona Lisa Pizza &  Grill
e45qsj7V2Laz0LBtpZqkqw,Mother Juice
1dGQF0sqCghhOntdkcyycw,Nine Tastes
L9S4WSPE3r1Bg9KgIlTqpA,The Maharaja
ksdjqXIRNG-LJaxhp-Dj4Q,Bon Me - One Kendall Square
75r5DhL8I3iXlZ8K5nOpEw,Bambara
FHyVE2vrDXqIXeCCqfoyfQ,Takemura Japanese Restaurant
V7z-P1aqxkHTcKAsWA603A,Le's Restaurant
H_XBx4erPI4IrUo8WySPLg,The Mad Monkfish
b_JzakNJhumpafAnXertgQ,Mariposa Bakery
yngIcg8mi-XPTAOocYGIJg,Beat Brew Hall
4gm34Eqa5R5sCmw2_dIv3Q,Legal Fish Bowl
ubDQrboLTba1_Quv3Cj2AQ,Violette Gluten Free Bakery
Zw3DHRaAalbsaw8QFL-9fA,Lizzy's Ice Cream
SSOx0BLXiVfmJWCY5XJDrw,Shake Shack
ZXYUs_-2rHf6WyG_fnfl3g,2nd Street Cafe
OewFMtHTze3uDaQzKxLdRA,Flame Hot Pot & Sushi
r4Yh18N1vaK7yM8pqpUJGA,Bluestone Lane Harvard Square Café
FxveeHL_B0Kkz1KjPKyF3A,Tasty Burger
yBsnMFHNgiPlU1YNsxYweQ,sweetgreen
OTCgRfMMM5QtqffLJzbZeQ,Amelias Trattoria
7TStzQMNtPQIBNaIYcZ_zw,Royal East Restaurant
mqDsEyybiu1yXYu3LgwbZg,Lamplighter Brewing
T8DpRFty13MXLf6MB43aLg,Bondir Cambridge
7CAMlSH-UGjb5N75vN_Iww,Bonchon Cambridge
BAC-9njvQzG9KekYJ2cEWg,Darwin's
yr5PAGXB19P1cy9-QJ9IYA,Clover Food Lab
8ju300tn3uzUvIPIvmkRWA,Club Passim
SSmHkP0tZ4TKn_YUOEkVUg,Cafe Sushi
zqfbHraCjhS5ZOT70Svn1A,The Similans
